id,duration,q0,q1,A,B,q0_attempts,q1_attempts,mc
207,882.79,0,0,Control,Hotel,4,3,0
52,741.85,1,0,Control,Donation,1,3,1
214,826.06,0,0,Control,MMP,2,2,0
156,712.03,1,1,Control,Donation,1,1,2
142,890.13,0,0,Control,Hotel,2,3,0
224,783.89,1,1,Control,MMP,1,1,2
17,710.57,1,1,Control,Hotel,1,1,2
73,1822.55,1,0,Control,Donation,1,2,1
170,845.77,1,0,Control,MMP,1,4,1
100,738.9,1,1,Control,Donation,1,1,2
158,742.59,0,1,Control,MMP,4,1,1
13,1232.3,1,1,Control,Hotel,1,1,2
238,809.0,1,1,Control,Hotel,1,1,2
78,713.05,1,0,Control,Donation,1,2,1
172,704.71,1,1,Control,MMP,1,1,2
29,735.42,1,1,Control,Donation,1,1,2
64,892.56,1,1,Control,MMP,1,1,2
46,719.32,1,1,Control,Hotel,1,1,2
148,1014.45,1,1,Control,Donation,1,1,2
82,754.87,0,0,Control,MMP,3,5,0
154,894.68,0,1,Control,Hotel,2,1,1
216,768.53,0,1,Control,Hotel,2,1,1
27,740.09,0,0,Control,Hotel,3,4,0
219,1127.22,0,0,Control,MMP,4,4,0
40,856.35,1,1,Control,Donation,1,1,2
72,737.16,1,0,Control,Hotel,1,2,1
135,881.11,1,0,Control,MMP,1,3,1
105,931.72,1,1,Control,Donation,1,1,2
196,766.7,1,1,Control,MMP,1,1,2
61,775.35,0,0,Control,Hotel,4,6,0
132,711.73,1,0,Control,MMP,1,3,1
203,915.8,1,0,Control,Donation,1,4,1
12,748.76,1,0,Control,Donation,1,4,1
94,750.19,1,0,Control,Donation,1,2,1
92,785.8,0,1,Control,Donation,2,1,1
270,733.45,1,0,Control,Hotel,1,2,1
80,665.11,1,1,Control,Donation,1,1,2
179,1276.12,0,0,Control,Hotel,2,4,0
252,825.84,1,1,Control,Hotel,1,1,2
113,854.03,0,0,Control,Donation,5,3,0
212,713.16,1,1,Control,Donation,1,1,2
87,956.55,0,0,Control,MMP,4,2,0
259,896.52,1,1,Control,Donation,1,1,2
171,734.69,0,0,Control,MMP,2,2,0
244,1921.53,1,1,Control,MMP,1,1,2
181,786.69,1,1,Control,Hotel,1,1,2
90,854.93,0,0,Control,Donation,3,5,0
63,769.59,0,1,Control,MMP,2,1,1
39,757.44,1,1,Control,Hotel,1,1,2
67,935.16,1,0,Control,Donation,1,3,1
162,830.19,1,1,Control,MMP,1,1,2
262,782.77,1,1,Control,MMP,1,1,2
264,787.58,1,1,Control,Donation,1,1,2
253,728.44,1,1,Control,Donation,1,1,2
65,1008.6,0,0,Control,Hotel,2,4,0
10,710.1,1,1,Control,MMP,1,1,2
160,880.49,1,0,Control,Donation,1,2,1
6,731.62,0,0,Control,Hotel,3,3,0
229,719.48,1,1,Control,Hotel,1,1,2
54,787.34,1,0,Control,Hotel,2,4,1
138,711.26,0,0,Control,Donation,2,2,0
215,799.81,1,1,Control,Hotel,1,1,2
111,747.94,1,0,Control,Donation,1,3,1
263,842.23,1,1,Control,MMP,1,1,2
255,732.99,1,0,Control,Donation,1,2,1
173,722.59,1,1,Control,Donation,1,1,2
261,832.92,0,1,Control,Hotel,2,1,1
112,746.95,1,1,Control,Hotel,1,1,2
185,842.6,1,0,Control,Donation,1,4,1
84,770.41,0,0,Control,MMP,3,2,0
178,829.03,1,0,Control,Hotel,1,3,1
265,787.72,1,1,Control,MMP,1,1,2
140,763.26,1,1,Control,MMP,1,1,2
2,704.24,1,1,Control,Hotel,1,1,2
104,700.03,0,0,Control,Donation,3,3,0
175,1464.7,1,1,Control,Donation,1,1,2
5,754.64,1,1,Control,Donation,1,1,2
254,733.58,0,1,Control,Hotel,2,1,1
223,773.54,0,0,Control,MMP,3,2,0
22,776.99,1,1,Control,Hotel,1,1,2
141,748.28,0,1,Control,MMP,2,1,1
123,887.33,1,0,Control,Donation,1,2,1
149,819.62,1,1,Control,Hotel,1,1,2
16,696.14,1,1,Control,Hotel,1,1,2
56,857.82,1,1,Control,Donation,1,1,2
195,802.91,0,0,Control,MMP,5,4,0
37,713.51,0,0,Control,Hotel,3,3,0
55,754.38,1,0,Control,MMP,1,4,1
137,917.28,1,1,Control,Hotel,1,1,2
246,1213.44,1,1,Control,Donation,1,1,2
133,778.58,0,0,Control,Donation,4,4,0
257,758.28,1,1,Control,Donation,1,1,2
139,736.98,0,0,Control,MMP,2,2,0
85,735.0,1,1,Control,Hotel,1,1,2
43,710.95,1,1,Control,Donation,1,1,2
269,1291.87,1,1,Control,Donation,1,1,2
130,698.09,1,1,Control,Hotel,1,1,2
50,798.28,0,0,Control,Donation,3,4,0
240,909.94,1,1,Control,MMP,1,1,2
258,1076.92,1,0,Control,Donation,1,2,1
248,982.85,1,1,Control,Hotel,1,1,2
193,789.34,1,1,Control,Hotel,1,1,2
117,930.43,1,0,Control,Hotel,1,3,1
241,817.03,1,0,Control,Donation,1,3,1
144,742.86,1,1,Control,Hotel,1,1,2
200,1012.86,0,0,Control,Donation,4,3,0
177,896.5,1,1,Control,Donation,1,1,2
182,756.28,0,0,Control,MMP,2,3,0
209,737.41,0,0,Control,Hotel,3,2,0
211,1243.09,1,1,Control,Hotel,1,1,2
153,1006.46,0,0,Control,Donation,4,2,0
41,776.22,0,0,Control,MMP,2,4,0
62,744.99,0,0,Control,Hotel,2,2,0
197,753.0,1,1,Control,Donation,1,1,2
83,985.94,1,1,Control,MMP,1,1,2
88,829.28,0,1,Control,Hotel,2,1,1
107,811.35,1,1,Control,Hotel,1,1,2
189,1734.92,1,0,Control,Donation,1,2,1
220,770.82,1,1,Control,Donation,1,1,2
101,833.95,1,1,Control,MMP,1,1,2
26,760.63,1,1,Control,Donation,1,1,2
267,775.6,0,1,Control,Hotel,4,1,1
109,748.97,1,0,Control,Donation,1,2,1
239,782.51,1,0,Control,Donation,1,3,1
38,985.25,1,1,Control,Hotel,1,1,2
120,792.84,1,0,Control,Hotel,1,2,1
95,710.69,0,0,Control,MMP,2,3,0
226,736.16,0,0,Control,Donation,3,2,0
14,724.51,0,1,Control,Donation,4,1,1
118,894.48,1,1,Control,Donation,1,1,2
187,762.46,1,0,Control,MMP,1,2,1
242,1313.2,0,0,Control,Donation,4,4,0
225,793.41,1,0,Control,Donation,1,2,1
